n:1|p:-1235829608|s:-0.173881,0.163189,0.000000,0.046983,0.000000,0.000000,-0.998896,0.080592,0.201426,0.000000,0.000000,0.000000,-2.937245|d:1.453568|u:0.869188,-1.433590,0.427876,-1.934798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:1.453568
n:2|p:-1235829608|s:0.206760,0.287723,0.000000,0.986450,-0.000000,0.000000,-0.164064,0.765928,0.908389,0.000000,0.000000,0.000000,-1.059911|d:0.530035|u:-0.169193,-1.747617,-1.046880,1.882537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:0.530035
n:3|p:-1235829608|s:0.951137,-0.887821,0.000000,0.521623,-0.000000,-0.000000,0.853176,0.527590,-0.719656,0.000000,0.000000,0.000000,-3.014177|d:1.860206|u:-1.587315,-1.495699,-0.018224,1.041901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:1.860206
n:4|p:1|s:0.106925,0.101744,0.000000,0.733878,-0.000000,0.000000,0.679281,0.626088,-0.586042,0.000000,0.000000,0.000000,-2.744943|d:0.617348|u:-1.720374,-1.181380,-0.154318,1.278709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:2.070916
n:5|p:1|s:-0.643111,0.263144,0.000000,0.893360,-0.000000,0.000000,0.449341,-0.489832,0.364047,0.000000,0.000000,0.000000,-1.215635|d:1.328728|u:0.317720,-0.189697,0.749550,-1.601440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:2.782295
n:6|p:-1235829608|s:-0.096773,0.199569,0.000000,-0.644612,0.000000,-0.000000,0.764510,-0.082981,0.115684,0.000000,0.000000,0.000000,2.670235|d:2.172664|u:0.864798,0.189440,0.961802,-0.212496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:2.172664
n:7|p:-1235829608|s:0.167305,0.191002,0.000000,-0.762706,0.000000,0.000000,0.646746,0.063262,0.083872,0.000000,0.000000,0.000000,4.046942|d:3.252705|u:0.328337,1.214300,0.044154,1.115211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:3.252705
n:8|p:-1235829608|s:0.343066,-0.604685,0.000000,0.969197,-0.000000,0.000000,-0.246287,0.036122,-0.178182,0.000000,0.000000,0.000000,-2.364299|d:3.363999|u:-0.627879,-0.706978,-0.196863,-0.046367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:3.363999
n:9|p:1|s:-0.004627,0.072806,0.000000,0.608237,-0.000000,-0.000000,0.793756,0.051862,-0.126076,0.000000,0.000000,0.000000,5.809381|d:2.654781|u:1.502670,0.200330,1.607891,0.591002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:4.108349
n:10|p:1|s:-0.448075,0.112268,0.000000,0.814881,-0.000000,0.000000,-0.579629,-0.134789,-0.072075,0.000000,0.000000,0.000000,-6.960950|d:2.730007|u:-1.474319,-0.983184,-1.012891,-1.181697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:4.183574
top_level:-1235829608,6,7,8,9,10,
