n:1|p:-2132088576|s:-0.173881,0.163189,0.000000,0.046983,0.000000,0.000000,-0.998896,0.080592,0.201426,0.000000,0.000000,0.000000,-2.937245|d:1.453568|u:0.869188,-1.433590,0.427876,-1.934798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:6.432483
n:2|p:-2132088576|s:0.206760,0.287723,0.000000,0.986450,-0.000000,0.000000,-0.164064,0.765928,0.908389,0.000000,0.000000,0.000000,-1.059911|d:0.530035|u:-0.169193,-1.747617,-1.046880,1.882537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:0.783401
n:3|p:1|s:-0.122406,0.407032,0.000000,0.647252,-0.000000,-0.000000,0.762276,0.242567,0.565644,0.000000,0.000000,0.000000,-2.132821|d:0.611795|u:1.800416,-1.789883,0.086254,-1.295157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:9.465689
n:4|p:1|s:-0.794026,-0.962796,0.000000,0.440839,0.000000,0.000000,-0.897586,-0.879026,-1.045701,0.000000,0.000000,0.000000,-3.493539|d:1.633371|u:-1.792245,-1.368771,1.999974,-1.182686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:11.688061
n:5|p:4|s:-2.283364,-2.907292,0.000000,0.441540,0.000000,0.000000,-0.897241,-0.653631,-1.401738,0.000000,0.000000,0.000000,1.278420|d:1.621714|u:0.515640,-1.858316,0.991211,1.332954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:14.656386
n:6|p:5|s:-3.061623,-2.876335,0.000000,0.995836,-0.000000,0.000000,-0.091163,-0.998226,0.164699,0.000000,0.000000,0.000000,1.885178|d:1.207225|u:0.370160,1.777272,-0.196330,-0.654595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:16.561533
n:7|p:5|s:-2.745439,-3.595529,0.000000,0.378966,0.000000,0.000000,-0.925410,-0.786229,-0.830091,0.000000,0.000000,0.000000,-1.193116|d:0.640610|u:-1.554897,-0.553596,0.306762,0.372846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:17.691243
n:8|p:6|s:-3.479769,-2.567465,0.000000,0.999649,-0.000000,0.000000,0.026497,-0.204974,0.330967,0.000000,0.000000,0.000000,7.436937|d:1.154745|u:1.834548,1.675722,1.059486,0.796302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:18.738919
n:9|p:-2132088576|s:-0.506760,-0.126381,0.000000,0.868530,0.000000,0.000000,0.495637,-1.018679,-0.583375,0.000000,0.000000,0.000000,2.387426|d:0.707358|u:-0.558230,-0.700772,1.727581,1.633939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:1.398380
n:10|p:9|s:-2.150698,-0.564051,0.000000,0.722385,0.000000,0.000000,0.691492,-1.686832,-0.429158,0.000000,0.000000,0.000000,-0.511162|d:1.116182|u:-1.978366,1.133128,1.097545,-0.825288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000|c:3.877502
