10,2.940493,0.031825,0.695502,1.560649
20,3.397205,0.068275,0.762714,3.134866
30,3.952206,0.099425,0.762881,4.413349
40,4.171616,0.129900,0.774781,5.924234
50,4.693561,0.159250,0.747155,7.454246
60,5.041669,0.187650,0.764505,9.232888
70,5.135824,0.214725,0.791380,10.885121
80,5.127945,0.234550,0.768880,12.551075
90,5.225385,0.264575,0.770379,14.142079
100,5.364694,0.298900,0.784248,16.071478
110,5.505484,0.324900,0.788206,18.351504
120,5.659240,0.346675,0.787538,20.431851
130,5.789120,0.369950,0.786228,22.067295
140,5.889966,0.394050,0.809229,23.731892
150,5.854929,0.413475,0.801056,25.619825
160,5.955028,0.438950,0.796313,27.384258
170,5.934956,0.455400,0.798316,29.579487
180,6.075816,0.476200,0.800683,31.679263
190,6.247104,0.502375,0.797223,33.671829
200,6.482894,0.523550,0.795035,35.811130
210,6.528922,0.546425,0.790340,38.201338
220,6.693882,0.563075,0.786355,40.437208
230,6.733885,0.575300,0.780784,42.670628
240,6.746774,0.587750,0.779430,45.034136
250,6.773326,0.601525,0.773204,46.907307
260,6.834030,0.611150,0.775635,49.122494
270,6.946378,0.622125,0.773967,51.317919
280,6.916707,0.634025,0.776255,53.253024
290,7.057586,0.651875,0.774127,56.252126
300,7.166411,0.660850,0.771549,58.523730
310,7.159572,0.671700,0.776076,60.838855
320,7.176204,0.686600,0.771522,62.844071
330,7.181848,0.699725,0.769236,65.504661
340,7.257734,0.708225,0.768865,68.207446
350,7.273319,0.711325,0.763705,70.262781
360,7.292829,0.718075,0.760511,72.576821
370,7.321440,0.728700,0.759109,74.984993
380,7.429908,0.738225,0.756609,77.565087
390,7.446378,0.745225,0.757079,79.685472
400,7.435343,0.753325,0.759494,82.023031
410,7.412711,0.764200,0.756737,85.077190
420,7.376089,0.770125,0.752920,87.457640
430,7.390684,0.775925,0.748673,90.486874
440,7.421776,0.782975,0.746131,93.069485
450,7.444898,0.789825,0.744205,95.720414
460,7.434664,0.792450,0.746002,98.396766
470,7.479199,0.799575,0.747193,100.908563
480,7.519517,0.811475,0.744939,103.196755
490,7.537789,0.819500,0.745843,106.498247
500,7.533074,0.826150,0.747795,109.107506
510,7.556203,0.834050,0.744888,112.481457
520,7.514748,0.835050,0.741326,115.116699
530,7.527744,0.839650,0.742734,118.445019
540,7.521832,0.845375,0.740583,121.517474
550,7.494279,0.849675,0.739573,125.027358
560,7.514394,0.855750,0.734117,127.870575
570,7.572533,0.860650,0.736351,130.502019
580,7.579479,0.862950,0.738330,134.183270
590,7.571397,0.866800,0.737685,137.249948
600,7.583538,0.869375,0.736682,140.103781
610,7.634329,0.874550,0.738385,144.460712
620,7.584205,0.875200,0.736387,147.464079
630,7.599562,0.877000,0.737292,150.953987
640,7.606007,0.878700,0.735909,153.789539
650,7.604014,0.884750,0.734410,157.823721
660,7.644927,0.887675,0.733911,161.119840
670,7.657820,0.890025,0.731385,165.177057
680,7.640505,0.892725,0.730686,168.577589
690,7.641732,0.896375,0.731657,172.421157
700,7.631814,0.898150,0.730298,177.057522
710,7.641144,0.900200,0.731247,180.322525
720,7.646215,0.901375,0.730763,183.745175
730,7.633793,0.903125,0.728777,186.866917
740,7.668252,0.905650,0.731038,190.126953
750,7.666208,0.905825,0.731056,194.378206
760,7.658562,0.907250,0.731232,197.796849
770,7.623767,0.908300,0.729852,201.848409
780,7.603644,0.909650,0.728328,205.720842
790,7.607527,0.912850,0.729749,209.063638
800,7.604067,0.914200,0.730202,212.083066
810,7.605882,0.915925,0.730427,217.521428
820,7.621117,0.917100,0.729931,221.178401
830,7.631267,0.917950,0.729279,225.376374
840,7.619528,0.918200,0.730418,228.340650
850,7.649742,0.921075,0.730003,233.230944
860,7.645219,0.921850,0.729021,236.594189
870,7.654626,0.922950,0.730737,243.609685
880,7.633696,0.923800,0.729602,248.598603

